0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,% Asian-alone,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,CI90LBINC_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total Hospitals (2019),Percent of Population Aged 60+,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code,age_60_80
11.25269371,12.43324276,10.98098004,10.69989694,13.23901434,13.92298323,4.881476623,92.67310035,0.768293826,196.0,9.9,12.1,-2.2,0.4,37431.0,41534.0,88.2,0.311638532,27.7,10.6,9.6,11.6,11.1,9.6,12.7,14.4,15.6,3.7,3.4,4.0,6.0,22.589712355
12.91817432,13.20845092,12.41552836,13.54547186,12.14544993,13.09014733,4.047136765,85.56580853,3.041267753,3408.0,12.2,8.6,3.6,1.6,56196.0,59865.0,99.7,6.478597783,21.5,6.6,5.9,7.3,6.4,5.4,7.4,9.9,10.8,2.8,2.6,3.0,3.0,18.629640534
7.266121708,12.62488647,10.44504995,8.174386921,9.990917348,16.71207993,4.632152589,69.93642144,1.99818347,24.0,7.2,5.4,1.8,0.0,49477.0,55384.0,73.6,0.009992127,35.7,9.7,8.8,10.8,9.9,8.4,11.5,14.3,15.4,4.1,3.8,4.4,6.0,30.154405079999997
9.78321914,11.19847243,14.23115804,12.23183197,12.33292149,13.25395934,4.144670336,24.800629,0.763787487,1143.0,8.2,11.6,-3.5,0.1,25905.0,29124.0,55.5,0.120828414,25.2,10.2,9.5,10.9,10.7,9.6,11.9,21.2,22.3,4.9,4.5,5.2,6.0,22.823767269
10.6585722,11.83431953,10.927534,10.98901099,11.50388073,16.19918543,4.449396757,76.37746869,0.614769846,128.0,9.0,10.9,-1.9,-0.1,51262.0,57280.0,78.9,0.146665203,25.8,8.5,7.8,9.3,9.3,8.1,10.6,13.7,14.6,3.5,3.3,3.8,2.0,23.43810036
13.01708492,13.15789474,11.77795857,11.47130609,10.89867952,13.64603542,4.543463296,90.30289755,1.426872771,842.0,12.1,10.1,2.0,-0.3,43926.0,47572.0,63.2,0.58006972,25.1,8.7,7.9,9.5,9.4,8.1,10.7,13.0,13.8,3.8,3.6,4.1,5.0,21.487577444000003
9.816783533,11.15132323,9.47749378,10.47274372,11.62632888,14.65731735,7.192942773,87.58199502,0.429767021,212.0,8.7,15.2,-6.5,0.0,39519.0,44290.0,88.2,0.103886132,30.0,13.0,11.7,14.3,15.2,13.0,17.5,18.8,20.2,4.5,4.1,4.9,6.0,25.605066729999997
11.50974267,11.34017552,13.02989737,11.10813625,12.13148892,14.16331995,4.51286628,57.0638108,1.326788636,458.0,10.6,13.7,-3.1,0.6,36435.0,39917.0,80.0,0.69459996,25.1,9.8,9.1,10.6,10.8,9.6,12.0,17.5,18.5,4.0,3.8,4.2,5.0,22.20437305
13.31852198,12.46784378,12.57892891,12.2953695,10.71679139,14.16920019,4.677268475,97.43627222,0.789289055,440.0,12.7,10.0,2.7,0.6,55432.0,60773.0,93.4,0.502068584,23.5,7.4,6.6,8.2,8.3,7.1,9.7,10.2,11.1,3.0,2.8,3.2,5.0,19.776075773
12.26563318,12.92552634,9.846024929,12.10851576,10.20215775,13.56447051,6.91316644,97.01476904,0.513250236,125.0,11.2,12.1,-0.9,0.4,54421.0,60166.0,100.2,0.35693734,26.6,8.5,7.7,9.4,7.9,6.7,9.2,11.5,12.5,3.3,3.1,3.6,6.0,22.174505077
12.26719384,12.78743107,10.58162522,11.30995734,11.38279055,14.95161794,5.389657684,98.38726459,0.322547082,54.0,11.6,10.2,1.4,0.8,49204.0,54552.0,83.8,0.14106002,26.0,8.3,7.4,9.2,9.3,7.9,10.9,11.2,12.3,3.2,3.0,3.5,6.0,21.329726355000002
14.23603404,13.10889136,13.23467752,15.27192009,11.93488716,12.8178567,4.192872117,91.57479344,1.178936984,1049.0,13.7,7.8,5.9,1.2,55456.0,61341.0,87.3,0.917670778,18.6,6.0,5.4,6.6,5.5,4.7,6.4,9.0,9.7,2.7,2.5,2.9,4.0,15.202861019
9.260193662,10.10836397,9.027127033,9.39715034,9.721521421,13.51546169,8.027583556,96.59049953,0.523799226,595.0,8.3,16.8,-8.5,0.4,37327.0,39686.0,84.3,1.215223843,38.9,11.8,10.6,13.1,11.4,9.6,13.2,14.5,15.7,4.0,3.7,4.4,5.0,30.94259833
10.48627192,10.71782997,9.295401919,8.997684419,9.758518028,14.29043996,8.104531922,97.51902084,0.198478333,46.0,11.0,10.3,0.7,0.0,44098.0,48778.0,81.7,0.145723145,35.3,9.6,8.7,10.6,8.6,7.3,9.9,12.8,14.0,3.7,3.4,4.0,6.0,28.34932186
11.8983891,12.755886,10.85501859,12.32218092,12.43370508,14.91449814,3.796778191,97.14993804,0.453531599,461.0,11.0,9.0,2.0,0.5,56176.0,60379.0,108.4,0.795920069,23.9,7.9,7.1,8.8,9.9,8.5,11.5,12.6,13.7,3.1,2.8,3.3,2.0,21.023543986
11.92625312,13.39734972,13.57787594,10.50124832,11.21183023,13.12848089,3.883234108,85.03168811,0.914154023,775.0,11.1,13.7,-2.6,0.0,43064.0,45850.0,78.2,0.358865343,24.7,8.5,7.7,9.4,9.9,8.4,11.4,13.3,14.4,3.5,3.2,3.7,5.0,22.37372767
13.56132392,13.37610394,13.16672483,12.9224492,12.54664054,12.69159531,3.444017931,83.11276944,0.657665155,1296.0,12.4,11.2,1.2,0.2,52504.0,57005.0,118.7,1.263090512,21.3,8.4,7.7,9.2,9.9,8.7,11.3,12.8,13.7,3.3,3.1,3.5,5.0,18.291144338
11.67010825,12.75031958,13.87522683,13.57933975,12.21575621,13.94048289,3.738725451,65.02865009,5.761663404,17474.0,11.3,8.6,2.7,2.8,66912.0,69562.0,106.3,4.04824483,20.2,5.8,5.3,6.3,6.4,5.6,7.4,11.2,11.9,2.9,2.8,3.1,2.0,18.230041032000003
9.270045448,11.73604161,10.55308537,10.08876274,12.15114276,15.63438284,4.989417382,76.1505521,0.505340531,1067.0,8.3,12.4,-4.1,0.3,41090.0,44710.0,61.6,0.686935946,28.3,9.6,8.8,10.4,10.4,9.0,11.8,14.7,15.7,3.9,3.7,4.2,5.0,25.57712186
13.08893907,15.15925737,12.88894017,13.38728908,14.22189988,12.88014901,2.559876045,67.68699073,1.493947835,607.0,11.9,7.7,4.2,0.9,64690.0,68126.0,152.3,6.033121717,17.1,6.4,5.8,6.9,7.0,6.1,7.9,11.7,12.4,2.7,2.5,2.9,2.0,15.813649375
13.10977762,13.09565831,9.954112248,9.615248853,10.59654077,12.9897635,5.958348041,96.37839746,0.437698553,156.0,13.8,14.1,-0.3,-0.2,33614.0,37288.0,68.5,0.282076804,28.7,10.8,9.7,12.0,12.3,10.6,14.4,14.6,15.9,3.9,3.6,4.3,6.0,24.68055065
12.31631653,12.04691412,12.94492217,12.53401546,12.77620551,13.23337324,4.084576031,62.02242299,0.304778491,2685.0,11.8,13.2,-1.4,0.1,34921.0,38418.0,77.0,0.75933837,23.1,10.2,9.5,11.0,11.5,10.3,12.7,17.3,18.2,4.0,3.8,4.3,6.0,20.063676932
